nom,longitude,latitude,fonctionnel,secteur,type,proprietaire,image,date_creation,zone,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
wifi ensi,1.212038,6.174913,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302159.6773073505 682872.057599884)
wifi gayibor,1.212466,6.176901,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302207.8092234719 683091.7408550048)
wifi  estba,1.212583,6.177589,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302220.96527896705 683167.8084729004)
antenne relais Guichet banq atlantic,1.213264,6.179471,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302297.08865240635 683375.6301387764)
antenne relais scanner,1.21425,6.180868,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302406.6778851688 683529.7562738183)
antenne relais orabank,1.213229,6.181448,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302293.9146683592 683594.2900381329)
wifi espace resto nord,1.208562,6.184493,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (301778.47510773485 683932.8135687645)
wifi parking faseg,1.210796,6.186898,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302026.62242902315 684197.9443476914)
Cit�  F wifi,1.209576,6.186076,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (301891.3490533036 684107.5320736513)
wifi reposoir faseg,1.210677,6.185939,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302013.11066474265 684091.961389204)
wifi amphi 20ans,1.213361,6.174184,True,,,,,,,,2024-02-29 21:39:52,,2024-02-29 21:39:52,POINT (302305.8061869587 682790.8644825695)
