nom,longitude,latitude,fonctionnel,secteur,type,materiel,nombe_place,toiture,image,date_creation,zone,trame_verte,aire_repos,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
Reposoir 527,1.215927,6.16832,True,Campus Sud,Banc,Béton,2.0,True,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302587.64298651845 682141.4118448393)
Reposoir 528,1.215782,6.16838,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302571.6154679235 682148.1012990692)
Reposoir 529,1.215753,6.168402,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302568.48733486375 682150.5080343458)
Reposoir 530,1.215697,6.168475,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302562.24217559316 682158.6393736656)
Reposoir 531,1.215633,6.168517,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302555.2473761137 682163.270990199)
Reposoir 532,1.215547,6.168528,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302545.6587560384 682164.593385683)
Reposoir 533,1.215437,6.168633,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302533.5219795646 682176.2466870866)
Reposoir 534,1.215272,6.168698,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin TV,2024-11-01 23:42:38,POINT (302515.282570067 682183.4965509942)
Reposoir 535,1.215227,6.168743,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302510.31828579266 682188.4900322723)
Reposoir 536,1.215212,6.168753,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302508.66167293914 682189.6015480236)
Reposoir 537,1.217063,6.167983,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302713.33352996036 682103.7570680307)
Reposoir 538,1.216907,6.167932,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302695.9733298165 682098.1009664327)
Reposoir 539,1.216835,6.167888,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302688.02467292664 682093.3350270864)
Reposoir 540,1.216795,6.167887,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302683.5965434768 682093.1655110703)
Reposoir 2062,1.212197,6.174806,True,Campus Sud,Banc,Béton,2.0,,,,Espace administratif et pédagogique 2,,,limite UL,2024-11-01 23:43:41,AWUDI Koffi Fabrice,2024-11-01 23:43:41,POINT (302177.2140039885 682860.1514995063)
Reposoir 541,1.216728,6.168005,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302676.2611336645 682106.2773336509)
Reposoir 542,1.216838,6.16802,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302688.44234073313 682107.8955379968)
Reposoir 543,1.216842,6.168022,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302688.8119166112 682108.078629719)
Reposoir 544,1.216938,6.168002,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302699.50433789776 682105.8309294078)
Reposoir 545,1.216927,6.168072,True,Campus Sud,Table banc,Béton,4.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302698.238874998 682113.5769356465)
Reposoir 546,1.216867,6.168053,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302691.590826061 682111.5715653587)
Reposoir 547,1.216785,6.168023,True,Campus Sud,Banc,Béton,2.0,,,,Zone résidentielles 2,,,limite UL,2024-11-01 23:42:38,AZONDJAGNI Yao Divin ,2024-11-01 23:42:38,POINT (302682.5402248505 682108.2839367334)
