nom,longitude,latitude,fonctionnel,secteur,source,image,date_creation,zone,trame_verte,batiment,limite,date_collecte,agent_collecteur,info_modifier_le,geometry
robinet 175,1.211225,6.175575,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302069.9193573989 682945.5290134568)
robinet 176,1.210965,6.175785,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302041.2188915111 682968.8508462319)
robinet 177,1.210778,6.175862,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302020.58590007876 682977.3992976602)
robinet 178,1.21078,6.175668,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302020.6985224787 682956.0167998554)
robinet 179,1.210805,6.175588,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302023.4359544192 682947.1598274055)
robinet 180,1.21078,6.17532,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302020.56906500214 682917.4925547772)
robinet 181,1.21062,6.175318,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (302002.85858329374 682917.3677417204)
robinet 182,1.210398,6.175272,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301978.3056956378 682912.2890575834)
robinet 183,1.210455,6.175477,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301984.6541402887 682934.940144057)
robinet 184,1.21039,6.175535,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301977.48119405075 682941.415755725)
robinet 185,1.210487,6.175767,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301988.26701450284 682967.0011851998)
robinet 186,1.210417,6.175177,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301980.2996389632 682901.7756230204)
robinet 187,1.210455,6.174975,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301984.4676708976 682879.4578489182)
robinet 188,1.210222,6.17457,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301958.4902196237 682834.7532927541)
robinet 189,1.215415,6.176168,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:36,Abel,2024-11-03 20:17:36,POINT (302533.90778506396 683009.5062011044)
robinet 190,1.215085,6.176534,True,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:36,Abel,2024-11-03 20:17:36,POINT (302497.4730530347 683050.1879176922)
robinet 191,1.214301,6.17581,False,Campus Sud,Tde,,,Sciences et Technologies,,,limite UL,2024-11-03 20:17:36,Abel,2024-11-03 20:17:36,POINT (302410.4410377161 682970.3301757581)
robinet 192,1.210363,6.176415,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301974.8567031526 683038.7501087212)
robinet 193,1.21045,6.176182,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301984.3627817719 683012.9121416514)
robinet 194,1.209867,6.175947,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301919.7082714203 682987.1391593515)
robinet 195,1.209868,6.175782,True,Campus Sud,Tde,,,Sciences Agronomiques,,,limite UL,2024-11-03 20:17:36,AZOTI Croix ,2024-11-03 20:17:36,POINT (301919.8313920958 682968.8902033023)
